ID;Between;Time;Score;Leftskewed;Rightskewed;Stretched;RealShift;;;;;;
44;2;1;4;10;10;35;35;;;;;;
45;2;1;6;40;2;69;45;;;;;;
46;2;1;6;40;2;69;45;;;;;;
47;2;1;3;4;20;10;30;;;;;;
48;2;1;6;40;2;69;45;;;;;;
49;2;1;5;20;4;60;40;;;;;;
50;2;1;4;10;10;35;35;;;;;;
51;2;1;4;10;10;35;35;;;;;;
52;2;1;2;2;40;2;25;;;;;;
53;2;1;4;10;10;35;35;;;;;;
54;2;1;6;40;2;69;45;;;;;;
55;2;1;6;40;2;69;45;;;;;;
56;2;1;3;4;20;10;30;;;;;;
57;2;1;4;10;10;35;35;;;;;;
58;2;1;6;40;2;69;45;;;;;;
59;2;1;5;20;4;60;40;;;;;;
60;2;1;6;40;2;69;45;;;;;;
61;2;1;7;70;1;70;70;;;;;;
62;2;1;6;40;2;69;45;;;;;;
63;2;1;4;10;10;35;35;;;;;;
64;2;1;4;10;10;35;35;;;;;;
65;2;1;3;4;20;10;30;;;;;;
66;2;1;2;2;40;2;25;;;;;;
67;2;1;3;4;20;10;30;;;;;;
68;2;1;4;10;10;35;35;;;;;;
69;2;1;4;10;10;35;35;;;;;;
70;2;1;3;4;20;10;30;;;;;;
71;2;1;6;40;2;69;45;;;;;;
72;2;1;5;20;4;60;40;;;;;;
73;2;1;4;10;10;35;35;;;;;;
74;2;1;4;10;10;35;35;;;;;;
75;2;1;1;1;70;1;1;;;;;;
76;2;1;4;10;10;35;35;;;;;;
77;2;1;6;40;2;69;45;;;;;;
78;2;1;6;40;2;69;45;;;;;;
79;2;1;3;4;20;10;30;;;;;;
80;2;1;4;10;10;35;35;;;;;;
81;2;1;6;40;2;69;45;;;;;;
82;2;1;5;20;4;60;40;;;;;;
83;2;1;6;40;2;69;45;;;;;;
84;2;1;7;70;1;70;70;;;;;;
85;2;1;6;40;2;69;45;;;;;;
86;2;1;4;10;10;35;35;;;;;;
87;2;1;6;40;2;69;45;;;;;;
88;2;1;5;20;4;60;40;;;;;;
89;2;1;4;10;10;35;35;;;;;;
90;2;1;4;10;10;35;35;;;;;;
91;2;1;2;2;40;2;25;;;;;;
92;2;1;4;10;10;35;35;;;;;;
93;2;1;6;40;2;69;45;;;;;;
94;2;1;6;40;2;69;45;;;;;;
95;2;1;3;4;20;10;30;;;;;;
96;2;1;4;10;10;35;35;;;;;;
97;2;1;6;40;2;69;45;;;;;;
98;2;1;5;20;4;60;40;;;;;;
99;2;1;6;40;2;69;45;;;;;;
100;2;1;7;70;1;70;70;;;;;;
101;1;1;3;4;20;10;30;;;;;;
102;1;1;4;10;10;35;35;;;;;;
103;1;1;4;10;10;35;35;;;;;;
104;1;1;6;40;2;69;45;;;;;;
105;1;1;7;70;1;70;70;;;;;;
106;1;1;1;1;70;1;1;;;;;;
107;1;1;4;10;10;35;35;;;;;;
108;1;1;5;20;4;60;40;;;;;;
109;1;1;3;4;20;10;30;;;;;;
110;1;1;2;2;40;2;25;;;;;;
111;1;1;4;10;10;35;35;;;;;;
112;1;1;4;10;10;35;35;;;;;;
113;1;1;2;2;40;2;25;;;;;;
114;1;1;5;20;4;60;40;;;;;;
115;1;1;2;2;40;2;25;;;;;;
116;1;1;3;4;20;10;30;;;;;;
117;1;1;3;4;20;10;30;;;;;;
118;1;1;4;10;10;35;35;;;;;;
119;1;1;4;10;10;35;35;;;;;;
120;1;1;6;40;2;69;45;;;;;;
121;1;1;7;70;1;70;70;;;;;;
122;1;1;1;1;70;1;1;;;;;;
123;1;1;4;10;10;35;35;;;;;;
124;1;1;5;20;4;60;40;;;;;;
125;1;1;3;4;20;10;30;;;;;;
126;1;1;2;2;40;2;25;;;;;;
127;1;1;3;4;20;10;30;;;;;;
128;1;1;4;10;10;35;35;;;;;;
129;1;1;4;10;10;35;35;;;;;;
130;1;1;6;40;2;69;45;;;;;;
131;1;1;7;70;1;70;70;;;;;;
132;1;1;1;1;70;1;1;;;;;;
133;1;1;4;10;10;35;35;;;;;;
134;1;1;5;20;4;60;40;;;;;;
135;1;1;2;2;40;2;25;;;;;;
136;1;1;2;2;40;2;25;;;;;;
137;1;1;4;10;10;35;35;;;;;;
138;1;1;4;10;10;35;35;;;;;;
139;1;1;2;2;40;2;25;;;;;;
140;1;1;5;20;4;60;40;;;;;;
141;1;1;2;2;40;2;25;;;;;;
142;1;1;3;4;20;10;30;;;;;;
143;1;1;3;4;20;10;30;;;;;;
144;1;1;4;10;10;35;35;;;;;;
145;1;1;4;10;10;35;35;;;;;;
146;1;1;6;40;2;69;45;;;;;;
147;1;1;7;70;1;70;70;;;;;;
148;1;1;2;2;40;2;25;;;;;;
149;1;1;4;10;10;35;35;;;;;;
150;1;1;5;20;4;60;40;;;;;;
151;1;1;3;4;20;10;30;;;;;;
152;1;1;2;2;40;2;25;;;;;;
153;1;1;4;10;10;35;35;;;;;;
154;1;1;4;10;10;35;35;;;;;;
155;1;1;2;2;40;2;25;;;;;;
156;1;1;5;20;4;60;40;;;;;;
157;1;1;2;2;40;2;25;;;;;;
158;1;1;3;4;20;10;30;;;;;;
159;1;1;4;10;10;35;35;;;;;;
160;1;1;4;10;10;35;35;;;;;;
161;1;1;6;40;2;69;45;;;;;;
162;1;1;5;20;4;60;40;;;;;;
163;1;1;1;1;70;1;1;;;;;;
164;1;1;4;10;10;35;35;;;;;;
165;1;1;5;20;4;60;40;;;;;;
166;1;1;3;4;20;10;30;;;;;;
167;1;1;2;2;40;2;25;;;;;;
168;1;1;4;10;10;35;35;;;;;;
169;1;1;4;10;10;35;35;;;;;;
170;1;1;1;1;70;1;1;;;;;;
171;1;1;3;4;20;10;30;;;;;;
172;1;1;4;10;10;35;35;;;;;;
173;1;1;4;10;10;35;35;;;;;;
174;1;1;6;40;2;69;45;;;;;;
175;1;1;7;70;1;70;70;;;;;;
176;1;1;1;1;70;1;1;;;;;;
177;1;1;4;10;10;35;35;;;;;;
178;1;1;5;20;4;60;40;;;;;;
179;1;1;3;4;20;10;30;;;;;;
180;1;1;4;10;10;35;35;;;;;;
181;1;1;3;4;20;10;30;;;;;;
182;1;1;4;10;10;35;35;;;;;;
183;1;1;4;10;10;35;35;;;;;;
184;1;1;6;40;2;69;45;;;;;;
185;1;1;7;70;1;70;70;;;;;;
186;1;1;1;1;70;1;1;;;;;;
187;1;1;4;10;10;35;35;;;;;;
188;1;1;5;20;4;60;40;;;;;;
189;1;1;3;4;20;10;30;;;;;;
190;1;1;2;2;40;2;25;;;;;;
191;1;1;4;10;10;35;35;;;;;;
192;1;1;4;10;10;35;35;;;;;;
193;1;1;2;2;40;2;25;;;;;;
194;1;1;5;20;4;60;40;;;;;;
195;1;1;2;2;40;2;25;;;;;;
196;1;1;3;4;20;10;30;;;;;;
197;1;1;1;1;70;1;1;;;;;;
198;1;1;2;2;40;2;25;;;;;;
199;1;1;5;20;4;60;40;;;;;;
200;1;1;2;2;40;2;25;;;;;;
1;2;2;5;20;4;60;40;;;;;;
2;2;2;4;10;10;35;35;;;;;;
3;2;2;5;20;4;60;40;;;;;;
4;2;2;4;10;10;35;35;;;;;;
5;2;2;2;2;40;2;25;;;;;;
6;2;2;4;10;10;35;35;;;;;;
7;2;2;6;40;2;69;45;;;;;;
8;2;2;5;20;4;60;40;;;;;;
9;2;2;3;4;20;10;30;;;;;;
10;2;2;4;10;10;35;35;;;;;;
11;2;2;5;20;4;60;40;;;;;;
12;2;2;5;20;4;60;40;;;;;;
13;2;2;6;40;2;69;45;;;;;;
14;2;2;7;70;1;70;70;;;;;;
15;2;2;7;70;1;70;70;;;;;;
16;2;2;4;10;10;35;35;;;;;;
17;2;2;3;4;20;10;30;;;;;;
18;2;2;3;4;20;10;30;;;;;;
19;2;2;2;2;40;2;25;;;;;;
20;2;2;2;2;40;2;25;;;;;;
21;2;2;5;20;4;60;40;;;;;;
22;2;2;5;20;4;60;40;;;;;;
23;2;2;5;20;4;60;40;;;;;;
24;2;2;4;10;10;35;35;;;;;;
25;2;2;2;2;40;2;25;;;;;;
26;2;2;4;10;10;35;35;;;;;;
27;2;2;6;40;2;69;45;;;;;;
28;2;2;5;20;4;60;40;;;;;;
29;2;2;2;2;40;2;25;;;;;;
30;2;2;4;10;10;35;35;;;;;;
31;2;2;5;20;4;60;40;;;;;;
32;2;2;5;20;4;60;40;;;;;;
33;2;2;6;40;2;69;45;;;;;;
34;2;2;6;40;2;69;45;;;;;;
35;2;2;7;70;1;70;70;;;;;;
36;2;2;4;10;10;35;35;;;;;;
37;2;2;3;4;20;10;30;;;;;;
38;2;2;3;4;20;10;30;;;;;;
39;2;2;5;20;4;60;40;;;;;;
40;2;2;5;20;4;60;40;;;;;;
41;2;2;5;20;4;60;40;;;;;;
42;2;2;4;10;10;35;35;;;;;;
43;2;2;2;2;40;2;25;;;;;;
44;2;2;4;10;10;35;35;;;;;;
45;2;2;6;40;2;69;45;;;;;;
46;2;2;5;20;4;60;40;;;;;;
47;2;2;3;4;20;10;30;;;;;;
48;2;2;5;20;4;60;40;;;;;;
49;2;2;5;20;4;60;40;;;;;;
50;2;2;5;20;4;60;40;;;;;;
51;2;2;4;10;10;35;35;;;;;;
52;2;2;1;1;70;1;1;;;;;;
53;2;2;4;10;10;35;35;;;;;;
54;2;2;6;40;2;69;45;;;;;;
55;2;2;5;20;4;60;40;;;;;;
56;2;2;4;10;10;35;35;;;;;;
57;2;2;4;10;10;35;35;;;;;;
58;2;2;5;20;4;60;40;;;;;;
59;2;2;5;20;4;60;40;;;;;;
60;2;2;6;40;2;69;45;;;;;;
61;2;2;6;40;2;69;45;;;;;;
62;2;2;7;70;1;70;70;;;;;;
63;2;2;4;10;10;35;35;;;;;;
64;2;2;3;4;20;10;30;;;;;;
65;2;2;3;4;20;10;30;;;;;;
66;2;2;2;2;40;2;25;;;;;;
67;2;2;2;2;40;2;25;;;;;;
68;2;2;4;10;10;35;35;;;;;;
69;2;2;3;4;20;10;30;;;;;;
70;2;2;3;4;20;10;30;;;;;;
71;2;2;5;20;4;60;40;;;;;;
72;2;2;5;20;4;60;40;;;;;;
73;2;2;5;20;4;60;40;;;;;;
74;2;2;4;10;10;35;35;;;;;;
75;2;2;2;2;40;2;25;;;;;;
76;2;2;4;10;10;35;35;;;;;;
77;2;2;6;40;2;69;45;;;;;;
78;2;2;5;20;4;60;40;;;;;;
79;2;2;3;4;20;10;30;;;;;;
80;2;2;4;10;10;35;35;;;;;;
81;2;2;5;20;4;60;40;;;;;;
82;2;2;5;20;4;60;40;;;;;;
83;2;2;6;40;2;69;45;;;;;;
84;2;2;6;40;2;69;45;;;;;;
85;2;2;7;70;1;70;70;;;;;;
86;2;2;4;10;10;35;35;;;;;;
87;2;2;5;20;4;60;40;;;;;;
88;2;2;5;20;4;60;40;;;;;;
89;2;2;5;20;4;60;40;;;;;;
90;2;2;4;10;10;35;35;;;;;;
91;2;2;1;1;70;1;1;;;;;;
92;2;2;4;10;10;35;35;;;;;;
93;2;2;6;40;2;69;45;;;;;;
94;2;2;7;70;1;70;70;;;;;;
95;2;2;3;4;20;10;30;;;;;;
96;2;2;4;10;10;35;35;;;;;;
97;2;2;5;20;4;60;40;;;;;;
98;2;2;5;20;4;60;40;;;;;;
99;2;2;6;40;2;69;45;;;;;;
100;2;2;6;40;2;69;45;;;;;;
101;1;2;3;4;20;10;30;;;;;;
102;1;2;3;4;20;10;30;;;;;;
103;1;2;4;10;10;35;35;;;;;;
104;1;2;5;20;4;60;40;;;;;;
105;1;2;6;40;2;69;45;;;;;;
106;1;2;1;1;70;1;1;;;;;;
107;1;2;4;10;10;35;35;;;;;;
108;1;2;4;10;10;35;35;;;;;;
109;1;2;3;4;20;10;30;;;;;;
110;1;2;1;1;70;1;1;;;;;;
111;1;2;4;10;10;35;35;;;;;;
112;1;2;4;10;10;35;35;;;;;;
113;1;2;2;2;40;2;25;;;;;;
114;1;2;3;4;20;10;30;;;;;;
115;1;2;2;2;40;2;25;;;;;;
116;1;2;3;4;20;10;30;;;;;;
117;1;2;4;10;10;35;35;;;;;;
118;1;2;3;4;20;10;30;;;;;;
119;1;2;4;10;10;35;35;;;;;;
120;1;2;5;20;4;60;40;;;;;;
121;1;2;6;40;2;69;45;;;;;;
122;1;2;2;2;40;2;25;;;;;;
123;1;2;4;10;10;35;35;;;;;;
124;1;2;4;10;10;35;35;;;;;;
125;1;2;3;4;20;10;30;;;;;;
126;1;2;1;1;70;1;1;;;;;;
127;1;2;3;4;20;10;30;;;;;;
128;1;2;3;4;20;10;30;;;;;;
129;1;2;4;10;10;35;35;;;;;;
130;1;2;5;20;4;60;40;;;;;;
131;1;2;6;40;2;69;45;;;;;;
132;1;2;2;2;40;2;25;;;;;;
133;1;2;4;10;10;35;35;;;;;;
134;1;2;4;10;10;35;35;;;;;;
135;1;2;2;2;40;2;25;;;;;;
136;1;2;2;2;40;2;25;;;;;;
137;1;2;4;10;10;35;35;;;;;;
138;1;2;4;10;10;35;35;;;;;;
139;1;2;2;2;40;2;25;;;;;;
140;1;2;3;4;20;10;30;;;;;;
141;1;2;2;2;40;2;25;;;;;;
142;1;2;3;4;20;10;30;;;;;;
143;1;2;3;4;20;10;30;;;;;;
144;1;2;3;4;20;10;30;;;;;;
145;1;2;4;10;10;35;35;;;;;;
146;1;2;5;20;4;60;40;;;;;;
147;1;2;6;40;2;69;45;;;;;;
148;1;2;2;2;40;2;25;;;;;;
149;1;2;4;10;10;35;35;;;;;;
150;1;2;4;10;10;35;35;;;;;;
151;1;2;3;4;20;10;30;;;;;;
152;1;2;1;1;70;1;1;;;;;;
153;1;2;4;10;10;35;35;;;;;;
154;1;2;4;10;10;35;35;;;;;;
155;1;2;2;2;40;2;25;;;;;;
156;1;2;3;4;20;10;30;;;;;;
157;1;2;2;2;40;2;25;;;;;;
158;1;2;3;4;20;10;30;;;;;;
159;1;2;3;4;20;10;30;;;;;;
160;1;2;4;10;10;35;35;;;;;;
161;1;2;5;20;4;60;40;;;;;;
162;1;2;6;40;2;69;45;;;;;;
163;1;2;2;2;40;2;25;;;;;;
164;1;2;4;10;10;35;35;;;;;;
165;1;2;4;10;10;35;35;;;;;;
166;1;2;3;4;20;10;30;;;;;;
167;1;2;1;1;70;1;1;;;;;;
168;1;2;4;10;10;35;35;;;;;;
169;1;2;4;10;10;35;35;;;;;;
170;1;2;2;2;40;2;25;;;;;;
171;1;2;3;4;20;10;30;;;;;;
172;1;2;3;4;20;10;30;;;;;;
173;1;2;4;10;10;35;35;;;;;;
174;1;2;5;20;4;60;40;;;;;;
175;1;2;6;40;2;69;45;;;;;;
176;1;2;1;1;70;1;1;;;;;;
177;1;2;4;10;10;35;35;;;;;;
178;1;2;4;10;10;35;35;;;;;;
179;1;2;3;4;20;10;30;;;;;;
180;1;2;3;4;20;10;30;;;;;;
181;1;2;3;4;20;10;30;;;;;;
182;1;2;3;4;20;10;30;;;;;;
183;1;2;4;10;10;35;35;;;;;;
184;1;2;5;20;4;60;40;;;;;;
185;1;2;6;40;2;69;45;;;;;;
186;1;2;2;2;40;2;25;;;;;;
187;1;2;4;10;10;35;35;;;;;;
188;1;2;4;10;10;35;35;;;;;;
189;1;2;3;4;20;10;30;;;;;;
190;1;2;1;1;70;1;1;;;;;;
191;1;2;4;10;10;35;35;;;;;;
192;1;2;4;10;10;35;35;;;;;;
193;1;2;2;2;40;2;25;;;;;;
194;1;2;3;4;20;10;30;;;;;;
195;1;2;2;2;40;2;25;;;;;;
196;1;2;3;4;20;10;30;;;;;;
197;1;2;2;2;40;2;25;;;;;;
198;1;2;2;2;40;2;25;;;;;;
199;1;2;6;40;2;69;45;;;;;;
200;1;;3;4;20;10;30;;;;;;
